"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DUSP3",3374.9773495594,0.050728647473279,0.0499079392950998,-3.32495855171735,0.000884316805598699,0.00345044643357921
"TIAM2",296.403563718587,-0.443528705525499,0.102270849337068,3.32464024626773,0.000885326931141764,0.00345357073683092
"TUG1",8624.03886138065,0.147187602842707,0.0490562758093464,3.32359283531036,0.00088865839019331,0.00346574670831361
"SH2B1",1365.45391810582,0.0245064217085855,0.0674881584731932,-3.32320736743619,0.000889887355309999,0.00346971918466379
"GMEB2",913.416209093405,0.29105625442145,0.0732858411858271,-3.32289444261954,0.000890886193973796,0.00347197211654296
"IQSEC2",333.409665530298,-0.0510405315387461,0.0964122037523599,3.32290207157715,0.000890861830409932,0.00347197211654296
"MAST2",2094.00639975645,0.0192333883241977,0.0572371833545721,3.3225690677978,0.00089192587436374,0.00347520279846
"MLEC",4415.09970258233,0.387378376272141,0.0527190589439798,3.32231275299023,0.000892745676946331,0.00347690910815496
"TMEM9B",719.955662830793,0.0104989605995422,0.0745763172835439,-3.32230033002771,0.000892785428547641,0.00347690910815496
"PCNXL3",1597.36868337583,0.142070901575564,0.05994265654847,-3.32170113921579,0.000894704697683657,0.00348356104317671
"SDK1",581.248635372141,0.232788500959774,0.0802822444743839,3.32157019510419,0.000895124633879037,0.00348437351582888
"IFT52",999.632612759199,-0.0268004289225674,0.0710260777483668,-3.32129409150163,0.000896010693626873,0.00348699961538179
"SSNA1",798.395816744305,-0.0433492770362161,0.0847330606066863,-3.32041773874287,0.000898828435095134,0.00349714021703799
"PA2G4",3484.50333714166,0.0765170368234445,0.0528994440975349,-3.3200023524928,0.000900166895706829,0.00350152184219168
"BAHD1",1008.97573256212,0.0742714834337742,0.066880965312782,-3.31965888407481,0.000901275017157889,0.00350418452088017
"PIM3",2122.74136950965,0.177010631207229,0.0651704713324594,3.31965847312284,0.000901276343756363,0.00350418452088017
"SNRNP27",942.217213909392,-0.0825424721593356,0.0669453363809531,-3.31944267866854,0.000901973202193463,0.00350606741074164
"HMOX1",1091.73889275836,0.434322337983992,0.0810419423372461,3.31937669388772,0.000902186384503923,0.00350606975485938
"CORO2B",55.4824283658176,-0.147608378978053,0.128163658333076,3.31903201766414,0.000903300716828185,0.00350957331511125
"BCAS3",1196.47394716207,-0.0277850007230536,0.0669811340043695,3.3180676455957,0.000906425296365607,0.00352088375246301
"AKIRIN2",2363.11929718609,0.230274406720936,0.0563493214267538,3.31763005318225,0.000907846403368976,0.00352557351795727
"HYAL3",72.3434067439543,0.199124894804006,0.124908762795666,-3.31624435160228,0.000912360184053448,0.00354226848295516
"KDELR2",5202.61266930426,0.227284474064959,0.0494357391115106,-3.31468247534707,0.000917472762908459,0.00356127989612832
"IL4R",226.161487542905,0.133483131158627,0.103721943028026,3.31443026529735,0.000918300821784118,0.00356365540086717
"ACTN2",527.98355894222,0.613471165914043,0.0863575042341208,3.3136725476421,0.000920792736441224,0.00357248520398144
"ABI3BP",40.7900980372836,-0.238473517086881,0.126609851248198,3.31353466425033,0.000921246868414708,0.00357340653827935
"RABAC1",1129.04134984563,-0.237041072219516,0.0795330160946301,-3.31345802491651,0.000921499377027277,0.00357354555027296
"GLUD1",2123.76179361648,-0.309550532254878,0.0554154761375523,-3.31262125862711,0.000924260501216659,0.00358341054221118
"SFXN2",576.151807396205,-0.069964690325998,0.0840766750298955,-3.31158147277983,0.000927702221480181,0.00359590898680908
"HIST1H2BJ",101.552793918092,0.61816592810771,0.120252496820578,3.31130279163861,0.000928626679578657,0.00359864657572622
"CMC1",435.51363685861,0.0157612603425395,0.0877969468498902,3.31093458809888,0.000929849415732766,0.00360253850450564
"TP53BP2",2882.14227361928,0.223537117763882,0.0548194019856113,-3.30932581600246,0.000935209368901182,0.00362245376263203
"PCBP1-AS1",153.593356233509,-0.0354619654025481,0.117172846601627,-3.30837453313936,0.00093839221481952,0.00363392880934922
"FAM59B",464.49493841685,-0.175962347753596,0.0880191944423875,3.30822850093457,0.000938881703652956,0.00363497087754653
"ENY2",1020.78795820789,-0.0592306954122126,0.0715999976705195,-3.30809639769102,0.000939324707433092,0.00363583252750387
"NR2F6",1471.40006116567,-0.050969375826723,0.066439839242201,-3.30763780474669,0.000940864086820269,0.00364093650491006
"MAP3K9",384.184818566124,0.0903303949830654,0.0940657497720445,3.30715299112139,0.000942494023430956,0.00364638844204709
"MYO1D",2741.60520008496,-0.270271527133258,0.0518014481692568,-3.30687841029546,0.000943418320201787,0.00364910843224392
"CTPS2",1970.85153821301,-0.168350742763842,0.0578246890481416,-3.30642706873691,0.000944939455481618,0.00365413515574638
"PROCA1",132.76857501892,-0.630805829372804,0.122530376525772,3.30634984067511,0.00094519996112066,0.00365428573810667
"COL24A1",117.874184305457,-0.0840297738858183,0.120838428446517,3.30626569008974,0.000945483893550408,0.00365452680017035
"KCNA3",65.5634018841121,-0.159469347611648,0.127842618122461,3.30555421491677,0.000947887641278409,0.00366295943477151
"ARL8B",2657.07805661096,-0.0731035222518797,0.0569186987107921,-3.30528195914111,0.000948808965096151,0.00366566087171019
"PELI1",892.729745658616,-0.240044305259092,0.0752136534671519,3.30437144142794,0.000951896220828962,0.00367672701876629
"SRP68",4521.61599725692,0.320843495002761,0.0503723939633213,3.3037434774304,0.000954030851830544,0.00368410930443483
"MLL3",3661.21900682316,0.304247833273142,0.0761989294648854,3.302855242109,0.000957057792267282,0.00369493309172853
"LOC440288",211.885088289421,-0.0208053461118438,0.106954446042569,3.3025519527895,0.000958093381279509,0.00369730036434096
"LSM4",3899.72794006612,0.0366879627972569,0.0599382303155896,-3.30254436343486,0.000958119308627494,0.00369730036434096
"ZNF277",623.005678103261,-0.225650672436438,0.080240572685063,3.30247683653006,0.000958350027947052,0.00369732561659198
"CABLES2",460.596496258131,-0.416158744714336,0.0864455797099149,-3.3023737474628,0.000958702351828867,0.00369781989913786
"D4S234E",274.001345522112,-0.226217084781059,0.101848654100314,3.30220324286064,0.000959285342727055,0.0036992034504553
"DGCR14",988.913847712329,0.107771426640369,0.0754839296743402,-3.30171393663537,0.000960960206785709,0.00370479586033583
"TMEM19",961.788688636799,0.0182710220973007,0.073799562827189,-3.30125246494045,0.000962542276272758,0.00371002798844744
"LRCH2",1498.6366641677,0.0175510214647464,0.0804092297916849,3.30065570662551,0.000964591727482618,0.00371705872929225
"TOX3",65.2748720832048,0.00488726524970717,0.127484508546521,3.30038695655346,0.000965516016926468,0.003719751382193
"ASXL3",309.558393432521,-0.368639368093058,0.0974932897423742,3.30017852874638,0.000966233409767358,0.00372138585025898
"ZNF140",392.546074401853,0.188608354136195,0.0906420805475787,3.30013260691711,0.000966391535600511,0.00372138585025898
"CAPZA1",5484.47676957006,0.122511791386549,0.0564203916886145,-3.29954000374077,0.000968434238672791,0.00372838139552529
"LURAP1",112.109402639303,-0.443517531417546,0.123367109083689,3.29714407341345,0.000976733842555064,0.00375945653798382
"MCCC1",603.917553775529,0.0230134060052557,0.0786975246271406,3.29666702199177,0.000978394211665005,0.00376496867311968
"PFDN5",2525.86443448642,0.00503546783125599,0.0559101609634042,-3.29659077178247,0.000978659841315491,0.00376511237761054
"IRGM",33.57310735107,0.782113881661297,0.12569105163492,-3.29483900116001,0.000984780831887035,0.00378777757936401
"DNAJB14",481.53000705478,-0.18443180438158,0.0890335953702336,3.29474002528095,0.000985127726538833,0.00378822839678362
"HSPA4",11474.7670757796,0.0616812261826676,0.0535657178795196,-3.29443377878737,0.000986201788375646,0.00379147461437751
"ATAT1",1000.10361738148,-0.129178708479235,0.0712004764319952,-3.29393695215811,0.000987946555804861,0.00379729726051959
"HS6ST3",504.989405572523,-0.183318668888,0.0857540345889287,3.29364582657058,0.000988970265074718,0.00380034636110842
"ATP8B1",110.486646022745,-0.20990299013696,0.12209568362729,3.2933753779059,0.000989922146252466,0.003803118089481
"CAND1",8737.45440778277,-0.00333954475023233,0.0573970461783034,-3.2928244000963,0.000991864013225972,0.00380969100375779
"C4orf42",497.887608537819,-0.00760174288575879,0.0854418607334606,-3.29254876257105,0.00099283679345218,0.00381253951907027
"MTBP",937.170819492373,-0.0708758689359803,0.0748135207479909,-3.29234598239142,0.000993553009329566,0.00381440171854575
"FKRP",1082.67955035316,0.618778434679193,0.0652056509654454,-3.29180550300386,0.000995464309866528,0.00382085009602715
"NDUFS7",716.651406364873,0.33248072126883,0.0836659605450289,3.29109314096575,0.000997988640162829,0.00382964789255597
"KCTD5",1141.55446651003,0.238052974969503,0.06673334657453,-3.29086769612827,0.000998788761506207,0.00383182671400834
"AMMECR1L",1779.71239278874,0.0915454581329009,0.0571877337994451,-3.29071573125723,0.000999328431735706,0.0038321143512246
"PARP3",199.052494511862,-0.211297948016207,0.128724328413359,-3.29076829291204,0.000999141739905555,0.0038321143512246
"FLJ42289",55.4384669266574,0.141414338487918,0.127924520682006,-3.29044998739642,0.00100027281217603,0.00383306214944684
"NEK11",141.536476722488,0.0561155341074247,0.113526074233945,-3.29056769405504,0.000999854413268354,0.00383306214944684
"ZNF511",733.772809358888,-0.118771888860326,0.0747524690496862,-3.29046799074129,0.00100020880716908,0.00383306214944684
"CCDC150",898.641571184878,0.00242947200213926,0.0692480275151176,-3.28939312551141,0.00100403679060599,0.00384659205283731
"ANKRD39",288.07153080745,-0.350821443678699,0.0986592691470924,-3.28928359214886,0.00100442763898039,0.00384719578488239
"AHNAK2",154.50065851227,-0.0755164410363237,0.116935459908138,3.2891086023325,0.00100505234816436,0.00384869477090199
"RANBP3L",6.30375734463858,-0.17036728820432,0.0831291601839751,3.28845872465504,0.00100737554453661,0.0038566956490349
"ALDH1L1",24.6666290492656,-0.19533033229646,0.120101224533156,3.28760380704071,0.00101043929329418,0.00386752732984471
"ANKMY1",173.697200156807,0.0447551483245772,0.109078226709518,-3.2874973573857,0.00101082137774748,0.00386809210746849
"PSMB3",2046.96069530707,0.139944620917751,0.0606112277582742,-3.28726205025983,0.00101166645062555,0.00387042792163469
"ANKRD27",1265.78486271692,0.0289060784614732,0.0637336438931971,3.28617073258814,0.00101559432313538,0.00388455407501665
"PIGW",1628.51702497732,0.223812913873757,0.0581188726851679,-3.28608530862896,0.00101590237613945,0.00388483141425177
"SDC3",1163.21589397435,-0.00817150004271547,0.0704956981352725,3.2859451280541,0.00101640807802602,0.00388586426306981
"DAXX",2366.34695494726,-0.0117383697109644,0.0644805650028859,-3.2854108656817,0.00101833756831041,0.0038922599430542
"ZNF501",303.826103413397,-0.0477145208496254,0.0960590442506376,3.28535128429867,0.00101855295666173,0.0038922599430542
"TRPT1",394.241778910376,-0.402242143575277,0.0937790212768185,-3.28425079270719,0.00102253885401799,0.00390658636074096
"NCSTN",1443.73890600632,0.447193671869029,0.0636714974637183,3.28402149619517,0.00102337116389386,0.00390886072396976
"FAM100A",672.169739710954,0.0102973057112279,0.0819975441407062,-3.28374616793355,0.00102437139015089,0.00391177525764264
"ZNF404",211.527905345551,0.129697151838085,0.107727197299796,3.28251664646802,0.00102884910870363,0.00392796489579837
"SNRNP70",9153.47266329896,-0.00197319734194377,0.0521287998983223,-3.28189372720181,0.00103112458702796,0.00393574122051658
"NBPF10",327.417876875222,0.658206782083006,0.0972486528401356,-3.28182079311167,0.00103139131426419,0.00393584843733441
"ZNHIT1",737.714013413676,-0.144029691658213,0.0779791545449344,-3.28042753474762,0.00103649887519527,0.00395442423053332
"UBE2D1",986.495550718506,0.28772822053073,0.0829264212880522,3.27961469498702,0.00103948947404848,0.00396491671958408
"LOC100507421",1396.33121245421,0.107098318410638,0.0640944822008995,3.27951375226889,0.0010398614191961,0.00396541835532977
"EIF2S2",2397.85741826369,-0.0174218981685822,0.0574230013758417,3.27942762211611,0.00104017888162967,0.00396571204223721
"C11orf1",225.831398121337,0.573218722865333,0.103788506955308,3.27866778627512,0.00104298340715087,0.00397548540192725
"MTMR11",158.813962688155,-0.509735031569694,0.115954382670424,3.27822287312356,0.00104462881113305,0.00398083710305395
"LDLR",820.864215526841,0.0810874709127256,0.0811152806726424,3.27802361096751,0.00104536651263381,0.00398272808798092
"SESN3",379.153233986835,-0.716555645946646,0.0950994714117993,3.27676089168655,0.00105005252577277,0.00399965734585919
"KHK",381.750002897011,-0.187411809752479,0.0921148169317106,-3.27617645120465,0.00105222798603456,0.004006093299554
"SNAPC2",244.493214082092,-0.253203757138138,0.100935459507185,-3.2761917997054,0.00105217080109826,0.004006093299554
"RPS27",118.157863272921,0.312278900744579,0.118421293700486,3.27608213110254,0.00105257946388772,0.0040065066000231
"NTM",64.0425478958303,-0.314924885901618,0.127716502677182,-3.27575525905146,0.00105379837247227,0.0040102207100104
"HLCS",1098.5861244421,0.0341473026502876,0.0657155199920247,-3.27523747772687,0.00105573185641293,0.00401665178957751
"YY1AP1",2399.57378365302,0.213454922443796,0.0558491100763787,3.2750192579067,0.00105654770920514,0.00401882872876392
"LOC338758",96.463059299283,0.137341392032853,0.12359561935194,3.27386317164984,0.00106087967839696,0.00403437595937307
"ZNF823",217.530761976601,0.324508037051033,0.103406534278002,3.27309437391256,0.00106376953003119,0.00404443311636803
"C12orf10",748.646344679255,-0.0557411949977645,0.0785687907783252,-3.27254110626838,0.00106585372497288,0.00405142325097436
"TCF19",1602.0204510089,-0.151553526666265,0.0608280108242299,-3.27194014597509,0.00106812186086317,0.0040591091823079
"HEXIM1",4703.2363776787,0.487609266039971,0.0675234120700055,-3.27146329831864,0.00106992474867877,0.0040650239299606
"KSR2",79.059914747963,-0.61232483223554,0.126110151051599,-3.27123323382149,0.00107079559358832,0.00406739560687522
